entry_id,date,account,vendor,amount,preparer,is_manipulated
JE-003827,2025-01-07,미수금,거래처-006,7249770,박전표,False
JE-003632,2025-01-07,매출,거래처-030,1295068,김회계,False
JE-000644,2025-01-07,매입,거래처-040,539601,김회계,False
JE-003020,2025-01-07,미지급금,거래처-005,599989,김회계,False
JE-001162,2025-01-07,판매비와관리비,거래처-031,93055,최담당,False
JE-001685,2025-01-07,매출원가,거래처-040,36481,박전표,False
JE-000034,2025-01-07,매출,거래처-024,699849,최담당,False
JE-001109,2025-01-07,미수금,거래처-029,1301561,박전표,False
JE-002953,2025-01-07,미수금,거래처-006,9996810,박전표,True
JE-000931,2025-01-08,판매비와관리비,거래처-039,4175544,박전표,False
JE-000280,2025-01-08,판매비와관리비,거래처-036,9998140,이감사,True
JE-000927,2025-01-08,매출,거래처-029,1075430,최담당,False
JE-000991,2025-01-08,매입,거래처-027,664335,박전표,False
JE-001534,2025-01-08,판매비와관리비,거래처-026,552010,최담당,False
JE-001138,2025-01-08,매입,거래처-017,4525780,최담당,False
JE-004056,2025-01-08,매출,거래처-022,500155,김회계,False
JE-002913,2025-01-08,미지급금,거래처-014,13342209,김회계,False
JE-000291,2025-01-08,매입,거래처-010,240188,김회계,False
JE-000764,2025-01-08,판매비와관리비,거래처-029,1919675,이감사,False
JE-003414,2025-01-08,매출,거래처-019,247661,최담당,False
JE-001962,2025-01-08,매입,거래처-026,69850,최담당,False
JE-000497,2025-01-08,미지급금,거래처-027,127072,이감사,False
JE-002884,2025-01-09,매출원가,거래처-005,1069433,이감사,False
JE-003701,2025-01-09,매출원가,거래처-005,307658,김회계,False
JE-004121,2025-01-09,매출원가,거래처-030,15319728,이감사,False
JE-000951,2025-01-09,매출,거래처-034,4973168,최담당,False
JE-001064,2025-01-09,미수금,거래처-005,2260190,이감사,False
JE-000588,2025-01-09,매출,거래처-008,544705,김회계,False
JE-003680,2025-01-09,매출,거래처-034,2821482,김회계,False
JE-002034,2025-01-09,판매비와관리비,거래처-012,1215361,최담당,False
JE-000916,2025-01-09,매출원가,거래처-009,267229,박전표,False
JE-000479,2025-01-09,판매비와관리비,거래처-023,123317,박전표,False
JE-002353,2025-01-09,매출,거래처-035,4182977,이감사,False
JE-002843,2025-01-09,미지급금,거래처-030,1172055,이감사,False
JE-003565,2025-01-09,미지급금,거래처-011,950577,이감사,False
JE-004009,2025-01-09,판매비와관리비,거래처-010,709801,김회계,False
JE-002670,2025-01-09,미수금,거래처-010,946385,이감사,False
JE-002408,2025-01-09,미지급금,거래처-013,3392830,박전표,False
JE-003105,2025-01-09,매입,거래처-035,442516,박전표,False
JE-003132,2025-01-09,미지급금,거래처-033,1543687,이감사,False
JE-001321,2025-01-09,매출원가,거래처-011,631270,이감사,False
JE-002649,2025-01-09,매출원가,거래처-010,401265,김회계,False
JE-001384,2025-01-10,미지급금,거래처-034,1564781,이감사,False
JE-002899,2025-01-10,판매비와관리비,거래처-024,2440660,이감사,False
JE-003719,2025-01-10,매입,거래처-006,69335,이감사,False
JE-003383,2025-01-10,미지급금,거래처-036,4280539,박전표,False
JE-000405,2025-01-10,매입,거래처-036,189076,박전표,False
JE-004128,2025-01-10,미수금,거래처-012,818520,이감사,False
JE-000586,2025-01-10,매출원가,거래처-031,820148,이감사,False
JE-003566,2025-01-10,미지급금,거래처-016,870638,박전표,False
JE-000220,2025-01-10,매출원가,거래처-028,4804655,이감사,False
JE-001959,2025-01-10,미수금,거래처-021,223820,최담당,False
JE-001124,2025-01-10,매입,거래처-001,659679,박전표,False
JE-002990,2025-01-10,매입,거래처-014,33004803,박전표,False
JE-002163,2025-01-10,미지급금,거래처-037,1585619,김회계,False
JE-002815,2025-01-10,판매비와관리비,거래처-008,446540,최담당,False
JE-000256,2025-01-11,매출,거래처-023,202280,최담당,False
JE-002440,2025-01-11,매출원가,거래처-020,893576,최담당,False
JE-000440,2025-01-11,매출,거래처-033,278076,최담당,False
JE-002594,2025-01-11,매출원가,거래처-022,198506,박전표,False
JE-001715,2025-01-11,미수금,거래처-026,4448862,최담당,False
JE-000564,2025-01-11,매입,거래처-034,497133,이감사,False
JE-003959,2025-01-11,매출원가,거래처-027,1574101,김회계,False
JE-001467,2025-01-11,미수금,거래처-033,618108,최담당,False
JE-004006,2025-01-11,미지급금,거래처-038,1502784,최담당,False
JE-002092,2025-01-11,매출원가,거래처-016,866839,김회계,False
JE-001107,2025-01-11,매출,거래처-028,369669,김회계,False
JE-001360,2025-01-12,매출원가,거래처-008,678139,이감사,False
JE-004109,2025-01-12,미수금,거래처-008,122833,김회계,False
JE-003905,2025-01-12,매입,거래처-025,663410,이감사,False
JE-001233,2025-01-12,매입,거래처-029,606502,김회계,False
JE-002577,2025-01-12,판매비와관리비,거래처-006,183559,최담당,False
JE-001571,2025-01-12,매출원가,거래처-009,1309007,박전표,False
JE-003971,2025-01-12,매출원가,거래처-002,251677,김회계,False
JE-003329,2025-01-12,미수금,거래처-021,591360,이감사,False
JE-003929,2025-01-12,매출원가,거래처-012,377520,박전표,False
JE-001333,2025-01-12,판매비와관리비,거래처-037,43665,박전표,False
JE-000970,2025-01-12,미지급금,거래처-016,90845,이감사,False
JE-002434,2025-01-12,매입,거래처-015,1846188,이감사,False
JE-000546,2025-01-12,매출,거래처-035,76098,김회계,False
JE-000628,2025-01-12,판매비와관리비,거래처-019,237483,이감사,False
JE-001693,2025-01-13,매출,거래처-012,2151264,이감사,False
JE-000729,2025-01-13,매출,거래처-032,170349,박전표,False
JE-003304,2025-01-13,매출원가,거래처-018,8259447,최담당,False
JE-002872,2025-01-13,미지급금,거래처-022,1124419,이감사,False
JE-001858,2025-01-13,미지급금,거래처-017,1550082,최담당,False
JE-004069,2025-01-13,미지급금,거래처-022,363844,최담당,False
JE-002064,2025-01-13,미수금,거래처-002,310633,김회계,False
JE-004134,2025-01-13,미수금,거래처-014,2452069,이감사,False
JE-003369,2025-01-13,매출원가,거래처-032,336230,김회계,False
JE-003166,2025-01-13,판매비와관리비,거래처-036,519970,박전표,False
JE-002319,2025-01-13,매입,거래처-013,680774,이감사,False
JE-000142,2025-01-13,매출원가,거래처-007,116433,김회계,False
JE-003339,2025-01-13,미수금,거래처-009,86374,최담당,False
JE-001156,2025-01-13,매출원가,거래처-029,285899,박전표,False
JE-000322,2025-01-14,매입,거래처-023,2540297,최담당,False
JE-003004,2025-01-14,매입,거래처-017,1689855,김회계,False
JE-003268,2025-01-14,미지급금,거래처-022,149377,김회계,False
JE-001704,2025-01-14,판매비와관리비,거래처-030,638248,이감사,False
JE-003015,2025-01-14,매입,거래처-013,357285,이감사,False
JE-003428,2025-01-14,매출,거래처-040,4307858,박전표,False
JE-001708,2025-01-14,미수금,거래처-023,33743,박전표,False
JE-003731,2025-01-14,판매비와관리비,거래처-040,9518743,김회계,False
JE-002450,2025-01-14,매입,거래처-029,274812,김회계,False
JE-000996,2025-01-14,미수금,거래처-005,1733771,박전표,False
JE-000595,2025-01-14,판매비와관리비,거래처-014,308034,최담당,False
JE-001085,2025-01-14,매출,거래처-013,327559,최담당,False
JE-002158,2025-01-14,매입,거래처-038,176255,최담당,False
JE-003956,2025-01-14,미지급금,거래처-018,3000000,박전표,True
JE-001430,2025-01-14,매입,거래처-005,140095,박전표,False
JE-000653,2025-01-14,미수금,거래처-021,2585121,최담당,False
JE-002084,2025-01-14,매입,거래처-031,172571,이감사,False
JE-001152,2025-01-14,판매비와관리비,거래처-001,442578,최담당,False
JE-003294,2025-01-14,매출,거래처-029,2847799,김회계,False
JE-002593,2025-01-14,매입,거래처-030,1231641,박전표,False
JE-001259,2025-01-15,판매비와관리비,거래처-030,3908553,최담당,False
JE-003391,2025-01-15,매출,거래처-007,1147971,최담당,False
JE-001132,2025-01-15,미지급금,거래처-003,409203,최담당,False
JE-000904,2025-01-15,매출원가,거래처-018,347291,이감사,False
JE-000877,2025-01-15,매출원가,거래처-010,356712,이감사,False
JE-003367,2025-01-15,매출원가,거래처-004,417871,최담당,False
JE-001660,2025-01-15,매입,거래처-020,8993364,이감사,False
JE-000367,2025-01-15,매입,거래처-037,1104452,이감사,False
JE-001675,2025-01-15,매출원가,거래처-003,246134,김회계,False
JE-001954,2025-01-15,매출원가,거래처-018,1230523,최담당,False
JE-003940,2025-01-15,판매비와관리비,거래처-034,228579,박전표,False
JE-002202,2025-01-15,미수금,거래처-016,969122,이감사,False
JE-003698,2025-01-15,매입,거래처-024,2528955,박전표,False
JE-000060,2025-01-15,매출원가,거래처-015,11569342,이감사,False
JE-003135,2025-01-16,매출원가,거래처-007,13460747,최담당,False
JE-001354,2025-01-16,매입,거래처-014,723463,최담당,False
JE-001695,2025-01-16,미수금,거래처-018,154471,최담당,False
JE-000694,2025-01-16,매출,거래처-026,16376476,최담당,False
JE-001891,2025-01-16,매출원가,거래처-014,348003,최담당,False
JE-001828,2025-01-16,매출,거래처-005,1292012,박전표,False
JE-002546,2025-01-17,판매비와관리비,거래처-020,249698,박전표,False
JE-001019,2025-01-17,미지급금,거래처-039,118028,김회계,False
JE-002141,2025-01-17,매출,거래처-035,1601296,박전표,False
JE-002026,2025-01-17,미수금,거래처-020,1769709,이감사,False
JE-002227,2025-01-17,매출,거래처-031,312641,최담당,False
JE-002474,2025-01-17,판매비와관리비,거래처-004,1158071,이감사,False
JE-000163,2025-01-17,매입,거래처-003,2156454,이감사,False
JE-002336,2025-01-17,매출원가,거래처-022,2047288,이감사,False
JE-001650,2025-01-17,매출,거래처-016,9995454,최담당,True
JE-001548,2025-01-17,매출원가,거래처-024,1097276,최담당,False
JE-001332,2025-01-17,매출,거래처-025,6765275,이감사,False
JE-001462,2025-01-17,매출원가,거래처-019,719064,최담당,False
JE-004031,2025-01-17,판매비와관리비,거래처-031,7848791,김회계,False
JE-001383,2025-01-17,매출원가,거래처-024,139827,최담당,False
JE-000463,2025-01-18,판매비와관리비,거래처-017,223055,이감사,False
JE-002886,2025-01-18,미수금,거래처-033,25824592,최담당,False
JE-001209,2025-01-18,매출원가,거래처-015,2367093,이감사,False
JE-001670,2025-01-18,매출원가,거래처-004,1585057,최담당,False
JE-003203,2025-01-18,미수금,거래처-003,9995827,박전표,True
JE-000841,2025-01-18,매출,거래처-017,900764,박전표,False
JE-000593,2025-01-18,미수금,거래처-016,828586,최담당,False
JE-000366,2025-01-18,매입,거래처-020,5627463,최담당,False
JE-001706,2025-01-18,매입,거래처-009,134588,이감사,False
JE-000984,2025-01-18,매입,거래처-033,69754,박전표,False
JE-003604,2025-01-18,판매비와관리비,거래처-035,259945,김회계,False
JE-003706,2025-01-18,미수금,거래처-006,147733,이감사,False
JE-003725,2025-01-18,매출원가,거래처-038,2344836,이감사,False
JE-000514,2025-01-19,미수금,거래처-007,80523,김회계,False
JE-001822,2025-01-19,매입,거래처-007,3907173,김회계,False
JE-002651,2025-01-19,판매비와관리비,거래처-009,767867,이감사,False
JE-000471,2025-01-19,판매비와관리비,거래처-008,296098,이감사,False
JE-002948,2025-01-19,매입,거래처-002,1371887,최담당,False
JE-001787,2025-01-19,매입,거래처-039,2298478,박전표,False
JE-003155,2025-01-19,매입,거래처-006,1046431,최담당,False
JE-001236,2025-01-20,판매비와관리비,거래처-039,5913007,이감사,False
JE-001302,2025-01-20,매출원가,거래처-029,392205,박전표,False
JE-001078,2025-01-20,판매비와관리비,거래처-025,69224,김회계,False
JE-002451,2025-01-20,매출원가,거래처-024,460555,이감사,False
JE-003002,2025-01-20,매출원가,거래처-003,59759,박전표,False
JE-001493,2025-01-20,판매비와관리비,거래처-030,151591,김회계,False
JE-000639,2025-01-20,판매비와관리비,거래처-007,8917702,이감사,False
JE-003845,2025-01-20,미지급금,거래처-003,2382136,박전표,False
JE-001047,2025-01-20,미지급금,거래처-022,216033,박전표,False
JE-000483,2025-01-20,매출,거래처-030,17264,김회계,False
JE-001203,2025-01-21,매출,거래처-002,38068378,이감사,False
JE-001397,2025-01-21,매출원가,거래처-028,5100106,김회계,False
JE-003237,2025-01-21,미수금,거래처-020,16136751,김회계,False
JE-001941,2025-01-21,매출,거래처-016,3514414,김회계,False
JE-003899,2025-01-21,매입,거래처-038,1954348,김회계,False
JE-001544,2025-01-21,미지급금,거래처-016,2704876,김회계,False
JE-003387,2025-01-21,판매비와관리비,거래처-028,11012469,박전표,False
JE-002790,2025-01-21,미수금,거래처-040,1022114,김회계,False
JE-003592,2025-01-22,미수금,거래처-029,1040459,김회계,False
JE-001174,2025-01-22,매입,거래처-037,633784,최담당,False
JE-001859,2025-01-22,미지급금,거래처-025,607595,이감사,False
JE-000922,2025-01-22,판매비와관리비,거래처-030,93132,박전표,False
JE-002433,2025-01-22,미지급금,거래처-015,625379,박전표,False
JE-000993,2025-01-22,매입,거래처-018,962040,최담당,False
JE-002908,2025-01-22,매출,거래처-034,408037,김회계,False
JE-001721,2025-01-22,매입,거래처-013,397322,박전표,False
JE-000977,2025-01-22,판매비와관리비,거래처-013,130354,이감사,False
JE-000282,2025-01-23,매출,거래처-038,3221234,박전표,False
JE-000079,2025-01-23,매출원가,거래처-004,25207300,박전표,False
JE-000159,2025-01-23,미수금,거래처-008,741579,김회계,False
JE-003150,2025-01-23,매입,거래처-007,510673,김회계,False
JE-002741,2025-01-23,매출원가,거래처-018,3449053,김회계,False
JE-000178,2025-01-23,매입,거래처-003,1068495,김회계,False
JE-002383,2025-01-23,매출원가,거래처-036,1953116,김회계,False
JE-000704,2025-01-23,매출원가,거래처-034,2026894,김회계,False
JE-000719,2025-01-23,판매비와관리비,거래처-030,921263,이감사,False
JE-003978,2025-01-23,판매비와관리비,거래처-006,920810,이감사,False
JE-003613,2025-01-24,매출,거래처-009,148759,최담당,False
JE-002514,2025-01-24,미수금,거래처-003,4659037,박전표,False
JE-002927,2025-01-24,미수금,거래처-032,6710529,최담당,False
JE-002597,2025-01-24,매입,거래처-009,41824,김회계,False
JE-001245,2025-01-24,미지급금,거래처-020,3048249,이감사,False
JE-004043,2025-01-24,미지급금,거래처-021,772141,이감사,False
JE-002135,2025-01-24,미지급금,거래처-009,615450,박전표,False
JE-001167,2025-01-24,미지급금,거래처-014,10765033,이감사,False
JE-000338,2025-01-25,매입,거래처-011,1739393,최담당,False
JE-003681,2025-01-25,미지급금,거래처-010,2797823,박전표,False
JE-003502,2025-01-25,매출원가,거래처-018,363245,김회계,False
JE-000321,2025-01-25,매입,거래처-005,2454331,김회계,False
JE-003293,2025-01-25,판매비와관리비,거래처-008,515266,최담당,False
JE-000383,2025-01-25,매입,거래처-037,76798,최담당,False
JE-002528,2025-01-25,미수금,거래처-033,12631068,박전표,False
JE-002222,2025-01-25,미수금,거래처-006,428520,박전표,False
JE-003837,2025-01-26,매입,거래처-020,155130,박전표,False
JE-001817,2025-01-26,미지급금,거래처-013,35344,최담당,False
JE-000698,2025-01-26,매출원가,거래처-026,50675,이감사,False
JE-003032,2025-01-26,매출,거래처-009,407134,최담당,False
JE-002460,2025-01-26,매출원가,거래처-029,205245,박전표,False
JE-000076,2025-01-26,미수금,거래처-030,750173,김회계,False
JE-001420,2025-01-26,매출원가,거래처-031,5378997,최담당,False
JE-004094,2025-01-26,판매비와관리비,거래처-036,288629,박전표,False
JE-003179,2025-01-26,매입,거래처-029,24936,박전표,False
JE-001637,2025-01-26,매입,거래처-035,168835,최담당,False
JE-003928,2025-01-26,판매비와관리비,거래처-005,4905309,김회계,False
JE-002447,2025-01-27,매출원가,거래처-015,977412,김회계,False
JE-001074,2025-01-27,미지급금,거래처-037,2585139,최담당,False
JE-003222,2025-01-27,매출원가,거래처-024,168499,박전표,False
JE-000565,2025-01-27,매입,거래처-009,28081249,김회계,False
JE-003798,2025-01-27,매출,거래처-038,1393421,이감사,False
JE-001836,2025-01-27,판매비와관리비,거래처-025,1065674,박전표,False
JE-001814,2025-01-27,매입,거래처-011,3553112,박전표,False
JE-002738,2025-01-27,매출원가,거래처-021,109173,박전표,False
JE-000062,2025-01-28,매출,거래처-017,264361,이감사,False
JE-001097,2025-01-28,판매비와관리비,거래처-024,227173,이감사,False
JE-001747,2025-01-28,미지급금,거래처-016,2185157,이감사,False
JE-003422,2025-01-28,판매비와관리비,거래처-003,1139069,김회계,False
JE-000952,2025-01-28,매출,거래처-024,8066634,김회계,False
JE-003281,2025-01-28,매입,거래처-009,2000000,이감사,True
JE-003976,2025-01-28,판매비와관리비,거래처-016,1775727,김회계,False
JE-002301,2025-01-28,미지급금,거래처-016,2694818,박전표,False
JE-002382,2025-01-29,매출원가,거래처-010,1899983,이감사,False
JE-003141,2025-01-29,매출,거래처-034,228804,이감사,False
JE-000705,2025-01-29,매출원가,거래처-004,118293,김회계,False
JE-002117,2025-01-29,미수금,거래처-007,530656,최담당,False
JE-002863,2025-01-29,미수금,거래처-031,399606,최담당,False
JE-000547,2025-01-29,미수금,거래처-011,137164,박전표,False
JE-001732,2025-01-29,판매비와관리비,거래처-014,1863479,김회계,False
JE-001512,2025-01-29,판매비와관리비,거래처-017,177527,최담당,False
JE-003491,2025-01-29,매출원가,거래처-026,1232302,최담당,False
JE-003903,2025-01-29,매출,거래처-008,727181,김회계,False
JE-001800,2025-01-29,매입,거래처-001,147917,김회계,False
JE-004011,2025-01-29,미지급금,거래처-039,346200,김회계,False
JE-000148,2025-01-29,매출원가,거래처-021,2330882,박전표,False
JE-002145,2025-01-29,매출원가,거래처-021,353097,박전표,False
JE-002732,2025-01-30,판매비와관리비,거래처-008,1964146,이감사,False
JE-003623,2025-01-30,미수금,거래처-028,762864,이감사,False
JE-001802,2025-01-30,매출,거래처-039,14791,박전표,False
JE-002617,2025-01-30,미수금,거래처-004,9996485,최담당,True
JE-003766,2025-01-30,매입,거래처-009,88705,이감사,False
JE-002226,2025-01-30,미지급금,거래처-006,3024853,김회계,False
JE-000614,2025-01-30,미수금,거래처-019,289921,이감사,False
JE-000254,2025-01-30,미지급금,거래처-018,803408,최담당,False
JE-000006,2025-01-30,매출원가,거래처-034,527201,박전표,False
JE-003734,2025-01-30,판매비와관리비,거래처-021,186753,김회계,False
JE-000652,2025-01-30,미지급금,거래처-031,351919,최담당,False
JE-000504,2025-01-30,매입,거래처-012,3433851,박전표,False
JE-003500,2025-01-30,매입,거래처-029,58967,박전표,False
JE-001334,2025-01-31,미지급금,거래처-011,1782769,최담당,False
JE-003752,2025-01-31,매입,거래처-003,1675223,박전표,False
JE-001699,2025-01-31,판매비와관리비,거래처-001,224762,최담당,False
JE-004140,2025-01-31,매입,거래처-030,5158034,이감사,False
JE-002029,2025-01-31,미지급금,거래처-006,684518,김회계,False
JE-003292,2025-01-31,미지급금,거래처-014,144728,이감사,False
JE-002475,2025-01-31,판매비와관리비,거래처-032,179567,김회계,False
JE-001242,2025-01-31,매출,거래처-040,2373853,김회계,False
JE-003526,2025-01-31,미지급금,거래처-015,57527,이감사,False
JE-003904,2025-01-31,매출,거래처-035,834318,최담당,False
JE-003192,2025-02-01,판매비와관리비,거래처-023,157144,김회계,False
JE-001080,2025-02-01,미수금,거래처-030,575552,이감사,False
JE-000515,2025-02-01,미지급금,거래처-002,899588,김회계,False
JE-001976,2025-02-01,미지급금,거래처-038,1061669,박전표,False
JE-001830,2025-02-01,매입,거래처-029,182530,최담당,False
JE-001720,2025-02-01,매출,거래처-014,2131053,김회계,False
JE-001015,2025-02-01,판매비와관리비,거래처-019,379619,최담당,False
JE-001889,2025-02-01,판매비와관리비,거래처-003,33119,최담당,False
JE-000037,2025-02-01,판매비와관리비,거래처-027,590449,이감사,False
JE-003378,2025-02-02,매출,거래처-008,4810576,최담당,False
JE-001232,2025-02-02,판매비와관리비,거래처-019,703908,박전표,False
JE-003330,2025-02-02,매출,거래처-010,12806171,박전표,False
JE-000825,2025-02-02,매입,거래처-032,361081,박전표,False
JE-002781,2025-02-02,판매비와관리비,거래처-015,21721855,최담당,False
JE-003986,2025-02-02,미지급금,거래처-021,249241,김회계,False
JE-004046,2025-02-02,매출원가,거래처-019,1720413,김회계,False
JE-001497,2025-02-02,매입,거래처-030,45035,이감사,False
JE-000938,2025-02-02,매출원가,거래처-008,1091395,김회계,False
JE-003617,2025-02-02,매출,거래처-030,77941,최담당,False
JE-001617,2025-02-02,미수금,거래처-019,170320,이감사,False
JE-002614,2025-02-02,매출,거래처-039,1687402,박전표,False
JE-000352,2025-02-02,매출,거래처-004,694404,김회계,False
JE-003685,2025-02-02,미지급금,거래처-028,3901405,박전표,False
JE-004053,2025-02-02,매출원가,거래처-034,1375398,최담당,False
JE-003594,2025-02-02,매입,거래처-013,20413,이감사,False
JE-001429,2025-02-03,매출,거래처-032,10665787,이감사,False
JE-004123,2025-02-03,매출원가,거래처-009,517971,박전표,False
JE-002251,2025-02-03,미수금,거래처-006,398292,김회계,False
JE-001495,2025-02-03,미지급금,거래처-028,297951,이감사,False
JE-000683,2025-02-03,판매비와관리비,거래처-015,41826,김회계,False
JE-001680,2025-02-03,매입,거래처-021,4901055,이감사,False
JE-000092,2025-02-03,미지급금,거래처-021,16184586,최담당,False
JE-004018,2025-02-03,미수금,거래처-028,1009960,이감사,False
JE-004022,2025-02-03,매출,거래처-002,1146402,이감사,False
JE-003388,2025-02-03,미지급금,거래처-018,136553,최담당,False
JE-002855,2025-02-03,미지급금,거래처-037,655317,박전표,False
JE-000239,2025-02-04,미수금,거래처-023,358400,박전표,False
JE-000414,2025-02-04,판매비와관리비,거래처-020,1761153,이감사,False
JE-002791,2025-02-04,미지급금,거래처-019,366322,김회계,False
JE-001937,2025-02-04,미지급금,거래처-035,1983432,박전표,False
JE-001550,2025-02-04,미수금,거래처-021,5078944,이감사,False
JE-002628,2025-02-04,미수금,거래처-035,620794,김회계,False
JE-002586,2025-02-04,판매비와관리비,거래처-011,136536,최담당,False
JE-000777,2025-02-04,판매비와관리비,거래처-018,121262,이감사,False
JE-000828,2025-02-05,매출,거래처-040,844443,김회계,False
JE-002072,2025-02-05,매출원가,거래처-029,134397,최담당,False
JE-000791,2025-02-05,매출,거래처-024,32794,김회계,False
JE-002102,2025-02-05,매출,거래처-021,2095232,이감사,False
JE-001998,2025-02-06,미지급금,거래처-011,382674,이감사,False
JE-001978,2025-02-06,미수금,거래처-032,71367,이감사,False
JE-002570,2025-02-06,매입,거래처-025,3476632,최담당,False
JE-000001,2025-02-06,미지급금,거래처-024,1130474,김회계,False
JE-000040,2025-02-06,미수금,거래처-013,710029,최담당,False
JE-001176,2025-02-06,미수금,거래처-019,1135136,박전표,False
JE-003488,2025-02-06,미수금,거래처-036,123025,박전표,False
JE-000858,2025-02-07,판매비와관리비,거래처-040,1119551,김회계,False
JE-003493,2025-02-07,미지급금,거래처-023,1043768,최담당,False
